Company,Position
Comisión Económica para América Latina y el Caribe (CEPAL),Consultor
INDEC,Asesora
Comisión Nacional de Defensa de la Competencia,Analista económico
Profesor Titular Ordinario -Facultad de Ciencias Económicas -Universidad Nacional de La Plata-,Profesor - Licenciado
Ministerio del Interior, Obras Públicas y Vivienda,Analista
Instituto Nacional de Estadísticas y Censos (INDEC),Coordinador de área de Servicios
SEIDO,Managing Partner
PUENTE,Jefe Relaciones Estrategicas 
Unión Industrial Argentina,Director Centro de Estudios (CEU-UIA)
Universidad Torcuato Di Tella,Dean, School of Government
Club Estudiantes de La Plata,Entrenador de Básquetbol
Ministerio de Hacienda,Analista Dirección Nacional de Financiamiento con Organismos Regionales de Crédito
CEDES,Investigador
AGN Auditoría General de la Nación,Auditora experta
Jefatura de Gabinete de Ministros,Gestión y planificación de proyectos
QUANT innovación social ,Economista
ENARGAS,Analista económico
MURAL,Data Scientist
Gobierno de la Ciudad de Buenos Aires,Secretario de Ambiente
Comisión Económica para América Latina y el Caribe (CEPAL),Investigadora asistente
Invecq Consulting SA,Presidente
InfraMove,Road Safety Consultant
EY,Transfer Pricing Manager
Ministerio de Economía,Analista de Política Fiscal
Elypsis,Chief Economist
Municipio de Tigre,Economista
IDB Invest,Senior Economist
Alberdi Partners,Analista Jr
INDEC Argentina,Investigadora en la Cuenta Satélite de Cultura
Autónomo,Consultora Sr. en Energía
Cámara Argentina de Comercio,Analista Sr. de Economía
ANSES,Coordinador de Análisis Integral de la Seguridad Social
AFIP,Analista
CELIV UNTREF,Research Analyst
Finance Dreams,Director
BBVA en Argentina,Ejecutivo Premium Direct
Universidad Torcuato Di Tella,Profesor visitante
Accenture,Global Corporate Function Finance Associate
Centro de Estudios Distributivos, Laborales y Sociales (UNLP),Investigador Junior
Ministerio del Interior, Obras Públicas y Vivienda,Asesor
Dirección Provincial de Redeterminación de Precios - Ministerio de Infraestructura y Obras Públicas,Analista de elaboración de informes
Trabajador por cuenta propia,Profesor particular de Español
FIEL,Economista Jefe
AFIP,PROFESIONAL CONTABLE
University of Tasmania,Associate Professor in Economics and Finance
Profesional independiente,Consultor de Negocios 
particular,Coordinador de acomodadores
Empresa Sandin,Chofer
ERGO Group AG,Motor Underwriting Specialist
Ministerio de Produccion - Secretaria de emprendedores y de la Pyme. ,Evaluador Tecnico
Fundación InnovaT,Controller Financiero y Administrativo de Proyectos de Investigacion.
ESCUELAS DE EDUCACIÓN SECUNDARIA GENERAL DEL SECTOR PÚBLICO,Profesor
Economía Femini(s)ta,Economía Feminista
AFIP,Asesor Mayor
