"","Company","Position"
"364","Electronic IDentification (eID)","Registered Nurse Operating Room"
"365","Publix Super Markets","Bakery Clerk"
"366","Oracle NetSuite","Consultant ERP Cloud"
"367","NetSuite","Consultor ERP"
"368","TIENDA MODA","Director y Fundador"
"369","Universidad de Buenos Aires","Webmaster"
"370","Banco de la Nación Argentina","Gerente de Auditoría de Procesos Centrales"
"371","",""
"372","GesNext","Recruiter /Selector Sr"
"373","DORIVENT SA ","General Manager"
"374","Oracle","Consultora Funcional en el Area de finanzas para ERP"
"375","DisrupTT","Team Manager "
"376","Portal ERP","Diretor executivo do grupo"
"377","Schmitman HR","Tech Recruiter"
"378","International Fund for Agricultural Development","Consultant"
"379","UNLP-Universidad Nacional de La Plata","Docente "
"380","Banco Interamericano de Desarrollo","Consultor "
"381","Prosegur","Asesor comercial"
"382","3 Arroyos SA","Jefe de Planeamiento y Control de Gestión"
"383","Gobierno de la Ciudad de Buenos Aires","Analista de datos"
"384","Lotería de la provincia","Encargado"
"385","Mercado Argentino de Valores S.A.","Analista financiero"
"386","Tata Consultancy Services","Recruiter IT Senior "
"387","Tecnosoftware","Oracle NetSuite Consultant"
"388","FIDE - Fundación de Investigaciones para el Desarrollo","President"
"389","Prisma Medios de Pago","Analista de gestion comercial Grandes Cuentas"
"390","Universidad del CEMA","Profesor Asociado"
"391","Banco de la Provincia de Buenos Aires","Analista Desarrollador Semi Sr"
"392","Ministerio de Economía","Directora de Proyecciones y Estadísticas Presupuestarias"
"393","Accenture Argentina","Financial Services Research Associate Manager"
"394","Consejo Interuniversitario Nacional","Responsable de la Unidad de Gestión de Proyectos"
"395","Lancellotti S. A.","President"
"396","ANSES","Director Ejecutivo de ANSES"
"397","Quinquela Fondos","Presidente"
"398","Consejo Profesional de Ciencias Económicas de la Provincia de Buenos Aires","Capacitación"
"399","estudio juridico","Abogado. Mediador. Profesor Universitario"
"400","Universidad de Buenos Aires","Profesor - Especialización en Mercado de Capitales (UBA-BYMA)"
"401","Secretaría de Energía ","Director Nacional de Escenarios y Planeamiento Energético"
"402","Inter-American Development Bank","Consultora"
"403","Refinería del Centro","Gerente Corporativo de Mantenimiento"
"404","Banco Central de la República Argentina","Subgerente de modelos macro-financieros"
"405","Sofrecom Argentina SA","UX Developer "
"406","INDEC Argentina","Asesora en Dirección Nacional de Cuentas Internacionales"
"407","Escuela de Negocios UCA","Director de Programa ""Fintech & Digital Banking"""
"408","Universidad Nacional de Chilecito","Unidad de Gestion de Evaluacion Institucional"
"409","",""
"410","Ministerio de Obras Públicas","Asesor"
"411","Chevening Scholarships","MPP candidate at London School of Economics"
"412","BANCO DE LA NACION ARGENTINA","Gerente general"
"413","investBA - Agencia de Promoción de Inversiones y Comercio Exterior de la Ciudad de Buenos Aires","Analista económico"
"414","Auditoria General de la Nación.","Economista Senior"
"415","Centro iDeAS - Universidad de San Martin - Argentina","Investigador Senior"
"416","Auditoria General de la Ciudad de Buenos Aires","Jefa de Gabinete Presidencia"
"417","Universidad Nacional de General Sarmiento","Investigadora"
"418","Estudio Barbolini Peralta S.R.L","Asesoria y Consultoria en Ciencias Empresariales. Socio Gerente."
"419","Acámica","Mentor Data Science"
"420","ANSES","Directora General de Proyectos de Niñez, Adolescencia, Juventud y Género."
"421","Somos Pymes","Columnista"
"422","EY","Engineering Team Lead - Artificial Intelligence Client Technology"
"423","Banco de la Nación Argentina","Vicepresidente"
"424","Grupo Randazzo","Coordinador de selección de personal de RR. HH."
"425","Jujuy Energía y Minería Sociedad del Estado","Gerente de Desarrollo Estratégico"
